schedule,period,startTime,endTime
R,0,7:30,7:40
R,1,7:41,8:23
R,2,8:28,9:12
R,3,9:16,10:00
R,4,10:04,10:48
R,5,10:52,11:36
R,6,11:40,12:24
R,7,12:28,13:12
R,8,13:16,14:00
SC,0,7:30,7:41
SC,1,7:41,8:23
SC,2,8:27,9:09
SC,3,9:13,9:55
SC,4,9:59,10:41
SC,5,10:45,11:27
SC,6,11:31,12:13
SC,7,12:17,12:59
SC,8,13:03,13:45
H,0,7:30,7:44
H,1,7:44,8:11
H,2,8:15,8:42
H,3,8:46,9:13
H,4,9:17,9:44
H,5,9:48,10:15
H,6,10:19,10:46
H,7,10:50,11:17
H,8,11:21,11:48
D,0,8:55,9:08
D,1,9:08,9:41
D,2,9:44,10:18
D,3,10:22,10:55
D,4,10:59,11:32
D,5,11:36,12:09
D,6,12:13,12:46
D,7,12:50,13:23
D,8,13:27,14:00
T,2,13:46,13:57
T,3,13:58,13:09
T,4,14:10,14:20
T,5,14:22,14:33
T,6,14:34,14:45
T,7,14:46,14:57
T,8,14:58,15:13